x,y,validity,timestamp_us,task
1407.382080078125,479.7786865234375,Valid,1863999707017,free_viewing
1407.162841796875,480.45306396484375,Valid,1863999737161,free_viewing
1406.5289306640625,480.8376770019531,Valid,1863999767419,free_viewing
1406.2293701171875,481.434814453125,Valid,1863999797563,free_viewing
1402.4871826171875,481.66278076171875,Valid,1863999827803,free_viewing
1396.513916015625,480.9551086425781,Valid,1863999858140,free_viewing
1390.82568359375,480.06744384765625,Valid,1863999888151,free_viewing
1385.1806640625,479.22576904296875,Valid,1863999918552,free_viewing
1379.31640625,479.12371826171875,Valid,1863999948465,free_viewing
1374.3328857421875,479.1001281738281,Valid,1863999979060,free_viewing
1366.2750244140625,479.8150939941406,Valid,1864000009051,free_viewing
1309.0185546875,483.9034118652344,Valid,1864000039089,free_viewing
1173.2557373046875,487.6269836425781,Valid,1864000069205,free_viewing
1062.8568115234375,488.9827575683594,Valid,1864000099579,free_viewing
988.6953735351562,488.8355407714844,Valid,1864000129616,free_viewing
942.5684204101562,485.6614990234375,Valid,1864000160210,free_viewing
918.121337890625,483.9328918457031,Valid,1864000190019,free_viewing
905.1284790039062,466.6985778808594,Valid,1864000220613,free_viewing
898.8585205078125,449.4324951171875,Valid,1864000251111,free_viewing
893.6611938476562,440.0711975097656,Valid,1864000280909,free_viewing
890.0611572265625,434.0943603515625,Valid,1864000311504,free_viewing
888.7835083007812,430.06121826171875,Valid,1864000341905,free_viewing
887.5545654296875,426.4469909667969,Valid,1864000371906,free_viewing
886.3060913085938,424.0374755859375,Valid,1864000402307,free_viewing
886.097412109375,422.6546936035156,Valid,1864000432405,free_viewing
886.2547607421875,421.5151672363281,Valid,1864000462709,free_viewing
886.1522216796875,420.0428466796875,Valid,1864000492710,free_viewing
885.7586669921875,418.9046630859375,Valid,1864000523112,free_viewing
884.9122314453125,418.17327880859375,Valid,1864000553095,free_viewing
884.221923828125,417.4816589355469,Valid,1864000583689,free_viewing
883.7979736328125,416.7478942871094,Valid,1864000613496,free_viewing
907.6463623046875,439.2138366699219,Valid,1864000644090,free_viewing
1027.90185546875,577.846435546875,Valid,1864000673949,free_viewing
1150.712646484375,732.8720092773438,Valid,1864000703960,free_viewing
1220.175537109375,823.7200927734375,Valid,1864000734361,free_viewing
1253.118408203125,864.283447265625,Valid,1864000764858,free_viewing
1268.379150390625,882.2012939453125,Valid,1864000794753,free_viewing
1275.7333984375,893.5624389648438,Valid,1864000825251,free_viewing
1280.4730224609375,900.7726440429688,Valid,1864000855146,free_viewing
1283.341552734375,904.3807373046875,Valid,1864000885148,free_viewing
1285.785888671875,905.24560546875,Valid,1864000915742,free_viewing
1287.337890625,906.2481079101562,Valid,1864000945619,free_viewing
1287.3411865234375,906.86474609375,Valid,1864000976002,free_viewing
1287.4638671875,908.1199340820312,Valid,1864001006002,free_viewing
1287.761962890625,909.3406372070312,Valid,1864001036422,free_viewing
1285.7293701171875,909.7716674804688,Valid,1864001066520,free_viewing
1274.156982421875,902.6497802734375,Valid,1864001096512,free_viewing
1248.1712646484375,881.5659790039062,Valid,1864001126867,free_viewing
1210.3968505859375,850.6458740234375,Valid,1864001156674,free_viewing
1176.3890380859375,822.9212646484375,Valid,1864001187269,free_viewing
1149.843505859375,802.994873046875,Valid,1864001217077,free_viewing
1128.552490234375,784.7747192382812,Valid,1864001247423,free_viewing
1098.877197265625,705.12109375,Valid,1864001277663,free_viewing
1071.786376953125,618.19189453125,Valid,1864001308083,free_viewing
1056.7625732421875,564.3765258789062,Valid,1864001337996,free_viewing
1048.7623291015625,532.4895629882812,Valid,1864001368494,free_viewing
1044.6763916015625,516.9815673828125,Valid,1864001398330,free_viewing
1041.052978515625,509.5458984375,Valid,1864001428924,free_viewing
1039.513671875,505.113525390625,Valid,1864001458847,free_viewing
1037.6473388671875,505.4265441894531,Valid,1864001489344,free_viewing
1005.264404296875,487.505859375,Valid,1864001519460,free_viewing
963.75048828125,461.4764099121094,Valid,1864001549604,free_viewing
935.5178833007812,442.744873046875,Valid,1864001579872,free_viewing
916.6085815429688,430.0295715332031,Valid,1864001610015,free_viewing
904.1779174804688,422.886474609375,Valid,1864001640265,free_viewing
896.1500244140625,419.2065124511719,Valid,1864001670427,free_viewing
890.3382568359375,416.2669982910156,Valid,1864001700685,free_viewing
886.053955078125,413.6315612792969,Valid,1864001730838,free_viewing
884.8584594726562,413.3435974121094,Valid,1864001761106,free_viewing
885.1610717773438,413.4237365722656,Valid,1864001791277,free_viewing
885.239990234375,413.6917419433594,Valid,1864001821526,free_viewing
885.5752563476562,413.8524169921875,Valid,1864001851688,free_viewing
885.4578857421875,414.2553405761719,Valid,1864001881938,free_viewing
885.27783203125,414.61431884765625,Valid,1864001912091,free_viewing
885.02490234375,414.9547424316406,Valid,1864001942350,free_viewing
886.2139892578125,415.6546630859375,Valid,1864001972512,free_viewing
896.8076171875,418.4530944824219,Valid,1864002002867,free_viewing
923.797607421875,425.58709716796875,Valid,1864002032965,free_viewing
954.33544921875,434.0738525390625,Valid,1864002063232,free_viewing
982.0386962890625,442.7102355957031,Valid,1864002093587,free_viewing
1004.67529296875,450.20819091796875,Valid,1864002123653,free_viewing
1022.4981689453125,454.30633544921875,Valid,1864002153999,free_viewing
1031.86865234375,457.15185546875,Valid,1864002184036,free_viewing
1037.7071533203125,458.7239990234375,Valid,1864002214373,free_viewing
1041.7796630859375,459.7245788574219,Valid,1864002244439,free_viewing
1044.3897705078125,461.3202209472656,Valid,1864002274784,free_viewing
1046.6435546875,463.69781494140625,Valid,1864002304869,free_viewing
1047.867431640625,465.2250671386719,Valid,1864002335099,free_viewing
